Class,IUPAC name,Common name,#C,#H,#O,Molweight g/mol,mp / °C,bp / °C,density / g/ml,pKa(1),pKa(2)
Diol,"1,2-Ethanediol",Ethylene glycol,2,6,2,62.07,-14,198,1.114,,
Diol,"1,2-Benzenediol","Catechol, pyrocatechol",6,6,2,110.11,102,245,1.344,9.45,12.8
Diol,"1,3-Benzenediol",Resorcinol,6,6,2,110.11,110,277,1.278,9.2,11.3
Diol,"1,4-Benzenediol","Hydroquinone,,4-
Dihydroxybenzene",6,6,2,110.11,172,285,,10.9,11.4
Diol,"4-Methyl-1,2-
benzenediol",4-Methylcatechol,7,8,2,124.13,68,251,1.129,9.55,
Triol,"1,3,5-Benzenetriol","Phloroglucinol,
1,3,5-
trihydroxybenzene",6,6,3,126.11,216,sub,1.46,8.45,
"Alkanoic
acid",Formic acid,Methanoic acid,1,2,2,46.03,8,101,1.22,3.74,
"Alkanoic
acid",Acetic acid,Ethanoic acid,2,4,2,60.05,17,118,1.048,4.76,
"Alkanoic
acid",Propanoic acid,Propionic acid,3,6,2,74.08,-21,142,0.991,4.87,
"Alkanoic
acid",Butanoic acid,Butyric acid,4,8,2,88.1,-5,164,0.956,4.82,
"Alkanoic
acid",Pentanoic acid,Valeric acid,5,10,2,102.13,-34,186,0.937,4.86,
"Alkanoic
acid",Hexanoic acid,Caproic acid,6,12,2,116.16,-4,202,0.924,4.87,
"Alkanoic
acid",Heptanoic acid,Enanthic acid,7,14,2,130.18,-7,222,0.916,4.89,
"Alkanoic
acid",Octanoic acid,Caprylic acid,8,16,2,144.21,17,240,0.911,4.89,
"Alkanoic
acid",Nonanoic acid,Pelargonic acid,9,18,2,158.23,12,256,0.905,4.96,
"Alkanoic
acid",Dodecanoic acid,Lauric acid,12,24,2,200.31,44,296,0.868,,
"Alkanoic
acid",Decanoic acid,Capric acid,13,26,2,214.34,31,270,0.886,,
"Alkanoic
acid",Tridecanoic acid,Tridecylic acid,14,28,2,228.36,42,308,0.846,,
"Alkanoic
acid",Undecanoic acid,,15,30,2,242.39,28.5,280,0.891,,
"Alkanoic
acid",Pentacanoic acid,Pentadecylic acid,17,34,2,270.44,52,360,0.842,,
"Alkanoic
acid",Hexadecanoic acid,Palmitic acid,16,32,2,256.42,63,351,0.853,,
"Alkanoic
acid",Octadecanoic acid,Stearic acid,18,36,2,284.48,69,d361,0.941,,
"Alkanoic
acid",Docosanoic acid,Behenic acid,22,44,2,340.57,81,>400,0.822,,
"Branched
alkanoic
acid",2-Methylpropanoic acid,Isobutyric acid,4,8,2,88.104,-46,155,0.945,4.84,
"Branched
alkanoic
acid",2-Methylbutanoic acid,,5,10,2,102.13,-80,177,0.934,4.8,
"Branched
alkanoic
acid",3-Methylbutanoic acid,Isovaleric acid,5,10,2,102.13,-30,176,0.925,4.77,
"Branched
alkanoic
acid","2,2-Dimethylpropanoic
acid",Trimethylacetic acid,5,10,2,102.13,35,164,0.905,4.78,
"Branched
alkanoic
acid",2-Methylpentanoic acid,,6,12,2,116.16,,195,0.923,,
"Branched
alkanoic
acid",3-Methylpentanoic acid,3-Methylvaleric acid,6,12,2,116.16,-42,197,0.926,,
"Branched
alkanoic
acid",4-Methylpentanoic acid,"4-Methylvaleric acid,
Isocaproic acid",6,12,2,116.16,-33,200,0.923,4.84,
"Branched
alkanoic
acid",2-Methylhexanoic acid,,7,14,2,130.18,,209,0.92,,
"Branched
alkanoic
acid",4-Methylhexanoic acid,,7,14,2,130.18,,110,0.921,,
"Branched
alkanoic
acid",2-Propylpentanoic acid,Valproic acid,8,16,2,144.21,,223,0.906,4.6,
"Benzoic
acids",Benzoic acid,"Benzenecarboxylic
acid",7,6,2,122.12,122,249,1.266,4.2,
"Benzoic
acids",2-Methyl-benzoic acid,o-Toluic acid,8,8,2,136.14,107,258,1.062,3.91,
"Benzoic
acids",3-Methyl-benzoic acid,m-Toluic acid,8,8,2,136.14,111,,1.054,4.25,
"Benzoic
acids",4-Methyl-benzoic acid,p-Toluic acid,8,8,2,136.14,182,275,,4.37,
"Benzoic
acids",2-Phenylbenzoic acid,,13,10,2,198.21,112,344,,3.46,
"Benzoic
acids",4-Phenylbenzoic acid,,13,10,2,,210,s,,,
"Cinnamic
acid","trans-o-Methylcinnamic
acid",,10,10,2,162.18,175,,,4.5,
"Cinnamic
acid","trans-p-Methylcinnamic
acid",,10,10,2,,199,,,4.56,
"Phenyl-
alkanoic
acid",Phenylethanoic acid,"Œ±-Tolylic acid,
Benzeneacetic",8,8,2,136.14,77,266,1.2286,4.31,
Phenyl-alkanoic acid,2-Phenylbutyric acid,a-Ethyl-a-toluic acid,10,12,2,47.5,,,,4.66,
"Hydroxy
acids",Hydroxyethanoic acid,Glycolic acid,2,4,3,76.05,80,d,,3.88,
"Hydroxy
acids",Hydroxyethanoic acid,Glycolic acid,2,4,3,76.05,80,d,,3.88,
"Hydroxy
acids",2-Hydroxy-benzoic acid,Salicylic acid,7,6,3,138.12,159,,1.443,2.97,13.59
"Hydroxy
acids",3-Hydroxy-benzoic acid,,7,6,3,138.12,202,,,4.8,9.9
"Hydroxy
acids",4-Hydroxy-benzoic acid,,7,6,3,138.12,215,,,4.58,9.4
"Alkanedioic
acid",Ethanedioic acid,Oxalic acid,2,2,4,90.04,d190,s157,1.9,1.25,4.29
"Alkanedioic
acid",Propanedioic acid,Malonic acid,3,4,4,104.06,136,d140,1.619,2.85,5.69
"Alkanedioic
acid",Butanedioic acid,Succinic acid,4,6,4,118.09,185,d235,1.572,4.21,5.64
"Alkanedioic
acid",Pentanedioic acid,Glutaric acid,5,8,4,132.11,96,302,,3.22,4.82
"Alkanedioic
acid",Hexanedioic acid,Adipic acid,6,10,4,146.14,153,265,,4.34,5.41
"Alkanedioic
acid",Heptanedioic acid,Pimelic acid,7,12,4,160.17,104,212,,4.71,5.58
"Alkanedioic
acid",Octanedioic acid,Suberic acid,8,14,4,174.19,142,230,,4.52,5.498
"Alkanedioic
acid",Nonanedioic acid,Azelaic acid,9,16,4,188.29,110,286,,4.53,5.33
"Alkanedioic
acid",Decanedioic acid,Sebacic acid,10,18,4,202.24,131,374,1.271,4.59,5.59
"Alkanedioic
acid",Undecanedioic acid,"1,9-
Nonanedicarboxylic
acid",11,20,4,216.27,109,,,4.65,
"Alkanedioic
acid",Dodecanedioic acid,"Decane-1,10-
dicarboxylic acid",12,22,4,230.3,128,245,,4.65,
"Alkanedioic
acid",Tridecanedioic acid,Brassylic acid,13,24,4,244.32,113,,,4.65,
"Alkenedioic
acids",cis-Butenedioic acid,Maleic,4,4,4,116.07,139,d,1.59,1.92,6.22
"Alkenedioic
acids",trans-Butenedioic acid,Fumaric,4,4,4,116.07,s300,,1.635,3.02,4.39
"Alkenedioic
acids",2-Octenedioic acid,,8,12,4,172.18,,,,4.15,
"Branched
dioic acids","2-Methylpropanedioic
acid",Methylmalonic acid,4,6,4,118.09,129,,1.455,3.07,5.76
"Branched
dioic acids","3-Methylpentanedioic
acid",3-Methylglutaric acid,6,10,4,146.14,83,,,4.24,
"Aromatic
dioic acids","1,2-Benzenedicarboxylic
acid",o-Phthalic acid,8,6,4,166.13,d210,,,4.42,5.41
"Aromatic
dioic acids","2,6-
Naphthalenedicarboxylic
acid",,12,8,4,216.18,>300,,,,
"Aromatic
dioic acids","1,4-
Naphthalenedicarboxylic
acid",,12,8,4,216.18,>301,,,,
"Aromatic
dioic acids","Biphenyl-4,4‚-
dicarboxylic acid",,14,10,4,242.22,>300,,,,
